916.38,-2377.80,-4703.96,-53.34
-292.68,-2365.36,-4703.96,-138.26
-315.35,-1107.91,-4703.96,141.93
980.01,-1143.22,-4703.96,51.41
728.66,-926.87,-4703.96,-177.53
1098.24,-1319.18,-4703.96,-89.99
1098.56,-2137.88,-4703.96,91.74
728.74,-2498.83,-4703.96,-179.12
-89.95,-2500.00,-4703.96,5.98
-433.14,-2138.04,-4703.96,92.73
-89.92,-948.01,-4703.96,-4.27
-438.16,-1319.18,-4703.96,-91.22
-75.83,-1732.51,-4703.96,-0.03
715.80,-1733.12,-4703.96,-179.56
317.88,-2124.53,-4703.96,92.36
322.95,-1332.18,-4703.96,-91.02
-88.14,-1321.20,-4351.96,-42.94
650.44,-1352.22,-4351.96,-129.30
712.88,-2117.91,-4351.96,138.91
-16.60,-2068.35,-4351.96,39.58
